
-----------------------------------------
| rollout/                |             |
|    time_elapsed         | 58296       |
|    total_timesteps      | 75816960    |
| train/                  |             |
|    approx_kl            | 0.021977955 |
|    clip_fraction        | 0.0827      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.388      |
|    explained_variance   | 0.867       |
|    learning_rate        | 2.93e-05    |
|    loss                 | 0.212       |
|    n_updates            | 30840       |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 1.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 230         |
|    ep_rew_mean          | 30.9        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3086        |
|    time_elapsed         | 58315       |
|    total_timesteps      | 75841536    |
| train/                  |             |
|    approx_kl            | 0.023560748 |
|    clip_fraction        | 0.0781      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.385      |
|    explained_variance   | 0.876       |
|    learning_rate        | 2.92e-05    |
|    loss                 | 0.196       |
|    n_updates            | 30850       |
|    policy_gradient_loss | -0.02       |
|    value_loss           | 1.25        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 216        |
|    ep_rew_mean          | 29.9       |
| time/                   |            |
|    fps                  | 1300       |
|    iterations           | 3087       |
|    time_elapsed         | 58335      |
|    total_timesteps      | 75866112   |
| train/                  |            |
|    approx_kl            | 0.02381677 |
|    clip_fraction        | 0.0727     |
|    clip_range           | 0.25       |
|    entropy_loss         | -0.373     |
|    explained_variance   | 0.868      |
|    learning_rate        | 2.92e-05   |
|    loss                 | 0.226      |
|    n_updates            | 30860      |
|    policy_gradient_loss | -0.019     |
|    value_loss           | 1.32       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 211         |
|    ep_rew_mean          | 28.8        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3088        |
|    time_elapsed         | 58354       |
|    total_timesteps      | 75890688    |
| train/                  |             |
|    approx_kl            | 0.022422658 |
|    clip_fraction        | 0.0733      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.398      |
|    explained_variance   | 0.864       |
|    learning_rate        | 2.92e-05    |
|    loss                 | 0.219       |
|    n_updates            | 30870       |
|    policy_gradient_loss | -0.0204     |
|    value_loss           | 1.35        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 218        |
|    ep_rew_mean          | 31         |
| time/                   |            |
|    fps                  | 1300       |
|    iterations           | 3089       |
|    time_elapsed         | 58373      |
|    total_timesteps      | 75915264   |
| train/                  |            |
|    approx_kl            | 0.02700779 |
|    clip_fraction        | 0.0832     |
|    clip_range           | 0.25       |
|    entropy_loss         | -0.419     |
|    explained_variance   | 0.869      |
|    learning_rate        | 2.91e-05   |
|    loss                 | 0.225      |
|    n_updates            | 30880      |
|    policy_gradient_loss | -0.022     |
|    value_loss           | 1.32       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 216         |
|    ep_rew_mean          | 30.6        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3090        |
|    time_elapsed         | 58393       |
|    total_timesteps      | 75939840    |
| train/                  |             |
|    approx_kl            | 0.022293597 |
|    clip_fraction        | 0.074       |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.376      |
|    explained_variance   | 0.856       |
|    learning_rate        | 2.91e-05    |
|    loss                 | 0.235       |
|    n_updates            | 30890       |
|    policy_gradient_loss | -0.0201     |
|    value_loss           | 1.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 204         |
|    ep_rew_mean          | 28.6        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3091        |
|    time_elapsed         | 58412       |
|    total_timesteps      | 75964416    |
| train/                  |             |
|    approx_kl            | 0.026113316 |
|    clip_fraction        | 0.0813      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.389      |
|    explained_variance   | 0.862       |
|    learning_rate        | 2.91e-05    |
|    loss                 | 0.247       |
|    n_updates            | 30900       |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 1.37        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 218         |
|    ep_rew_mean          | 30.5        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3092        |
|    time_elapsed         | 58432       |
|    total_timesteps      | 75988992    |
| train/                  |             |
|    approx_kl            | 0.022025816 |
|    clip_fraction        | 0.0737      |
|    clip_range           | 0.25        |
